N0.,DOI or website,Journal name,Article name,Country,Year,Province,City,Publish year,Location,Longtitude,latitude,SOC,Type of microbial fertilizers,Application（kg/hm2）,Types of microorganisms,n1,Yield1,Yield_SD1,Output_value1,Output_value_SD1,Net_profit1,Net_profit_SD1,Output_input_ratio1,Output_input_ratio_SD1,n2,Yield2,Yield_SD2,Output_value2,Output_value_SD2,Net_profit2,Net_profit_SD2,Output_input_ratio2,Output_input_ratio_SD2
4,https://kns.cnki.net/kcms2/article/abstract?v=Axm2Bq0K5fvnkPq5qGjGd--KjEhieOECn-Rd_ms0MUJtVneyUPMl-PA8dsSgV1WvYmDdim9wbl3B_9tTmc0w3XV086Y5ZKrYUitmLykYVheRLdAVOTBxr_P1kMNmkR9lRIqWI2g7w_xQCbtwfqmQm39oQcX1BJJutzEgPlzdea9C9VRpfYLZ4F1IE0s_KXRc&uniplatform=NZKPT&language=CHS,Hebei Agricultural University (PhD Thesis),Effects of compound microbial fertilizer and uniconazole on yield and grain quality of adzuki bean,China,2020.6.19,Hebei,Baoding,2021,"Third Teaching Farm, Hebei Agricultural University",115.42,38.81,10.19721578,Microbial Fertilizer,10,NA,3,2449.95,33.88520185,NA,NA,NA,NA,NA,NA,3,2643.75,58.46110628,NA,NA,NA,NA,NA,NA
4,https://kns.cnki.net/kcms2/article/abstract?v=Axm2Bq0K5fvnkPq5qGjGd--KjEhieOECn-Rd_ms0MUJtVneyUPMl-PA8dsSgV1WvYmDdim9wbl3B_9tTmc0w3XV086Y5ZKrYUitmLykYVheRLdAVOTBxr_P1kMNmkR9lRIqWI2g7w_xQCbtwfqmQm39oQcX1BJJutzEgPlzdea9C9VRpfYLZ4F1IE0s_KXRc&uniplatform=NZKPT&language=CHS,Hebei Agricultural University (PhD Thesis),Effects of compound microbial fertilizer and uniconazole on yield and grain quality of adzuki bean,China,2020.6.19,Hebei,Baoding,2021,"Third Teaching Farm, Hebei Agricultural University",115.42,38.81,10.19721578,Microbial Fertilizer,20,NA,3,2449.95,33.88520185,NA,NA,NA,NA,NA,NA,3,2830.95,62.60065014,NA,NA,NA,NA,NA,NA
4,https://kns.cnki.net/kcms2/article/abstract?v=Axm2Bq0K5fvnkPq5qGjGd--KjEhieOECn-Rd_ms0MUJtVneyUPMl-PA8dsSgV1WvYmDdim9wbl3B_9tTmc0w3XV086Y5ZKrYUitmLykYVheRLdAVOTBxr_P1kMNmkR9lRIqWI2g7w_xQCbtwfqmQm39oQcX1BJJutzEgPlzdea9C9VRpfYLZ4F1IE0s_KXRc&uniplatform=NZKPT&language=CHS,Hebei Agricultural University (PhD Thesis),Effects of compound microbial fertilizer and uniconazole on yield and grain quality of adzuki bean,China,2020.6.19,Hebei,Baoding,2021,"Third Teaching Farm, Hebei Agricultural University",115.42,38.81,10.19721578,Microbial Fertilizer,10,NA,3,2412.74,33.3705512,NA,NA,NA,NA,NA,NA,3,2918.85,64.54437827,NA,NA,NA,NA,NA,NA
4,https://kns.cnki.net/kcms2/article/abstract?v=Axm2Bq0K5fvnkPq5qGjGd--KjEhieOECn-Rd_ms0MUJtVneyUPMl-PA8dsSgV1WvYmDdim9wbl3B_9tTmc0w3XV086Y5ZKrYUitmLykYVheRLdAVOTBxr_P1kMNmkR9lRIqWI2g7w_xQCbtwfqmQm39oQcX1BJJutzEgPlzdea9C9VRpfYLZ4F1IE0s_KXRc&uniplatform=NZKPT&language=CHS,Hebei Agricultural University (PhD Thesis),Effects of compound microbial fertilizer and uniconazole on yield and grain quality of adzuki bean,China,2020.6.19,Hebei,Baoding,2021,"Third Teaching Farm, Hebei Agricultural University",115.42,38.81,10.19721578,Microbial Fertilizer,20,NA,3,2412.74,33.3705512,NA,NA,NA,NA,NA,NA,3,3666.12,81.06872092,NA,NA,NA,NA,NA,NA
4,https://kns.cnki.net/kcms2/article/abstract?v=Axm2Bq0K5fvnkPq5qGjGd--KjEhieOECn-Rd_ms0MUJtVneyUPMl-PA8dsSgV1WvYmDdim9wbl3B_9tTmc0w3XV086Y5ZKrYUitmLykYVheRLdAVOTBxr_P1kMNmkR9lRIqWI2g7w_xQCbtwfqmQm39oQcX1BJJutzEgPlzdea9C9VRpfYLZ4F1IE0s_KXRc&uniplatform=NZKPT&language=CHS,Hebei Agricultural University (PhD Thesis),Effects of compound microbial fertilizer and uniconazole on yield and grain quality of adzuki bean,China,2020.6.19,Hebei,Baoding,2021,"Third Teaching Farm, Hebei Agricultural University",115.42,38.81,10.19721578,Microbial Fertilizer,10,NA,3,2236.2,30.92883054,NA,NA,NA,NA,NA,NA,3,2280.45,50.42747227,NA,NA,NA,NA,NA,NA
4,https://kns.cnki.net/kcms2/article/abstract?v=Axm2Bq0K5fvnkPq5qGjGd--KjEhieOECn-Rd_ms0MUJtVneyUPMl-PA8dsSgV1WvYmDdim9wbl3B_9tTmc0w3XV086Y5ZKrYUitmLykYVheRLdAVOTBxr_P1kMNmkR9lRIqWI2g7w_xQCbtwfqmQm39oQcX1BJJutzEgPlzdea9C9VRpfYLZ4F1IE0s_KXRc&uniplatform=NZKPT&language=CHS,Hebei Agricultural University (PhD Thesis),Effects of compound microbial fertilizer and uniconazole on yield and grain quality of adzuki bean,China,2020.6.19,Hebei,Baoding,2021,"Third Teaching Farm, Hebei Agricultural University",115.42,38.81,10.19721578,Microbial Fertilizer,20,NA,3,2236.2,30.92883054,NA,NA,NA,NA,NA,NA,3,2641.83,58.41864942,NA,NA,NA,NA,NA,NA
4,https://kns.cnki.net/kcms2/article/abstract?v=Axm2Bq0K5fvnkPq5qGjGd--KjEhieOECn-Rd_ms0MUJtVneyUPMl-PA8dsSgV1WvYmDdim9wbl3B_9tTmc0w3XV086Y5ZKrYUitmLykYVheRLdAVOTBxr_P1kMNmkR9lRIqWI2g7w_xQCbtwfqmQm39oQcX1BJJutzEgPlzdea9C9VRpfYLZ4F1IE0s_KXRc&uniplatform=NZKPT&language=CHS,Hebei Agricultural University (PhD Thesis),Effects of compound microbial fertilizer and uniconazole on yield and grain quality of adzuki bean,China,2020.6.19,Hebei,Baoding,2021,"Third Teaching Farm, Hebei Agricultural University",115.42,38.81,10.19721578,Microbial Fertilizer,10,NA,3,2230.81,30.85428158,NA,NA,NA,NA,NA,NA,3,2601.19,57.51997921,NA,NA,NA,NA,NA,NA
4,https://kns.cnki.net/kcms2/article/abstract?v=Axm2Bq0K5fvnkPq5qGjGd--KjEhieOECn-Rd_ms0MUJtVneyUPMl-PA8dsSgV1WvYmDdim9wbl3B_9tTmc0w3XV086Y5ZKrYUitmLykYVheRLdAVOTBxr_P1kMNmkR9lRIqWI2g7w_xQCbtwfqmQm39oQcX1BJJutzEgPlzdea9C9VRpfYLZ4F1IE0s_KXRc&uniplatform=NZKPT&language=CHS,Hebei Agricultural University (PhD Thesis),Effects of compound microbial fertilizer and uniconazole on yield and grain quality of adzuki bean,China,2020.6.19,Hebei,Baoding,2021,"Third Teaching Farm, Hebei Agricultural University",115.42,38.81,10.19721578,Microbial Fertilizer,20,NA,3,2230.81,30.85428158,NA,NA,NA,NA,NA,NA,3,2870.25,63.469689,NA,NA,NA,NA,NA,NA
4,https://kns.cnki.net/kcms2/article/abstract?v=Axm2Bq0K5fvnkPq5qGjGd--KjEhieOECn-Rd_ms0MUJtVneyUPMl-PA8dsSgV1WvYmDdim9wbl3B_9tTmc0w3XV086Y5ZKrYUitmLykYVheRLdAVOTBxr_P1kMNmkR9lRIqWI2g7w_xQCbtwfqmQm39oQcX1BJJutzEgPlzdea9C9VRpfYLZ4F1IE0s_KXRc&uniplatform=NZKPT&language=CHS,Hebei Agricultural University (PhD Thesis),Effects of compound microbial fertilizer and uniconazole on yield and grain quality of adzuki bean,China,2020.6.19,Hebei,Baoding,2021,"Third Teaching Farm, Hebei Agricultural University",115.42,38.81,10.19721578,Microbial Fertilizer,10,NA,3,2392.06,33.0845266,NA,NA,NA,NA,NA,NA,3,2924.71,64.67396015,NA,NA,NA,NA,NA,NA
4,https://kns.cnki.net/kcms2/article/abstract?v=Axm2Bq0K5fvnkPq5qGjGd--KjEhieOECn-Rd_ms0MUJtVneyUPMl-PA8dsSgV1WvYmDdim9wbl3B_9tTmc0w3XV086Y5ZKrYUitmLykYVheRLdAVOTBxr_P1kMNmkR9lRIqWI2g7w_xQCbtwfqmQm39oQcX1BJJutzEgPlzdea9C9VRpfYLZ4F1IE0s_KXRc&uniplatform=NZKPT&language=CHS,Hebei Agricultural University (PhD Thesis),Effects of compound microbial fertilizer and uniconazole on yield and grain quality of adzuki bean,China,2020.6.19,Hebei,Baoding,2021,"Third Teaching Farm, Hebei Agricultural University",115.42,38.81,10.19721578,Microbial Fertilizer,20,NA,3,2392.06,33.0845266,NA,NA,NA,NA,NA,NA,3,3279.93,72.52892154,NA,NA,NA,NA,NA,NA
